method,response,spec,slope_per_lever,factor_per_lever,se_hc3,ci_low,ci_high,r_squared,n_obs,n_censored_excluded,survivorship_biased,note
grid,log_runtime,semilog_preregistered,0.5550362108737397,1.742004063121191,0.013226713348597725,0.529112329076653,0.5809600926708264,0.6450370597920035,944,316,True,
grid,log_runtime,loglog_supplementary,3.2290264692369806,,0.05439086087043516,3.1224223408427987,3.3356305976311624,0.8017525313466314,944,316,True,
slsqp,log_runtime,semilog_preregistered,0.29505257674840313,1.3431969777593553,0.0038899288711074604,0.28742845625860997,0.3026766972381963,0.7895191126785235,1260,0,False,
slsqp,log_runtime,loglog_supplementary,1.976906406491981,,0.02137867280140299,1.935004977763965,2.018807835219997,0.8232657328465562,1260,0,False,
slsqp,log_evals,semilog_preregistered,0.15887380122935613,1.1721900084080779,0.0029547664012389355,0.15308256550019878,0.16466503695851348,0.7150916977986677,1260,0,False,
slsqp,log_evals,loglog_supplementary,1.0766311702002498,,0.01607250157866455,1.045129645964604,1.1081326944358956,0.7627725541403173,1260,0,False,
basin_hopping,log_runtime,semilog_preregistered,0.29720695173586054,1.3460938470824302,0.004089629482754337,0.2891914252395489,0.3052224782321722,0.7770236077297294,1260,0,False,
basin_hopping,log_runtime,loglog_supplementary,1.997391221648058,,0.022317101155230133,1.9536505071444696,2.0411319361516465,0.8151669392303951,1260,0,False,
basin_hopping,log_evals,semilog_preregistered,0.165500063736846,1.1799830379278546,0.0030458413475329257,0.15953032439305853,0.17146980308063348,0.7211904861659335,1260,0,False,
basin_hopping,log_evals,loglog_supplementary,1.1240924638863867,,0.01668118098158215,1.0913979499428912,1.1567869778298823,0.7727904164722607,1260,0,False,
genetic_algorithm,log_runtime,semilog_preregistered,0.14927607963557218,1.1609934716222632,0.002531974815459053,0.14431350018751,0.15423865908363438,0.647377357453701,1259,1,True,
genetic_algorithm,log_runtime,loglog_supplementary,0.9933626921749753,,0.01556051384991617,0.9628646454482029,1.0238607389017478,0.6658800643052243,1259,1,True,
genetic_algorithm,log_evals,constant,0.0,1.0,,,,,1259,1,True,"fixed by design (constant evaluation budget), not estimated"
